"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 시군구 선택"
"읍면동 : 읍면동 선택"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 강동구 천호동","305","0305","0000","중앙하이츠","전세","114.6800","202412","31","46,000","0","9","1998","구천면로41길 79","202503~202703","신규","-","","","아파트"
"2","서울특별시 강동구 강일동","695","0695","0000","강일리버파크10단지","전세","84.5300","202412","31","30,870","0","10","2009","고덕로97길 20","-","신규","-","","","아파트"
"3","서울특별시 강동구 천호동","453-5","0453","0005","로데오팰리스","월세","14.4100","202412","31","1,000","90","16","2022","천호대로159길 20","202501~202701","신규","-","","","아파트"
"4","서울특별시 강동구 천호동","121-32","0121","0032","다성이즈빌(121-32)","월세","46.8400","202412","31","23,000","50","6","2017","성안로 195","202501~202701","신규","-","","","아파트"
"5","서울특별시 강남구 도곡동","972","0972","0000","한라비발디","월세","84.9569","202412","31","70,000","200","17","2016","남부순환로365길 33","202501~202701","갱신","-","70,000","147","아파트"
